[INFO ] 2024-11-04 19:14:17.961 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@a53ef2e)
[INFO ] 2024-11-04 19:14:17.961 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 19:14:17.962 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 19:14:17.962 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 19:14:17.965 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@6a9881ee)
[INFO ] 2024-11-04 19:14:17.965 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
[INFO ] 2024-11-04 19:14:17.966 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | onSubscribe([Fuseable] MonoFlatMap.FlatMapMain)
[INFO ] 2024-11-04 19:14:17.966 [scheduling-1] [Loggers$Slf4JLogger.info] {} - | request(unbounded)
[INFO ] 2024-11-04 19:14:17.969 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onNext(com.asset.ccat.ods_service.models.responses.BaseResponse@438d6d56)
[INFO ] 2024-11-04 19:14:17.969 [reactor-http-nio-4] [Loggers$Slf4JLogger.info] {} - | onComplete()
